method,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,peak_memory_mb,trainable_params
linear_probe,1,2.784856824221799,0.41001833516685005,2.0399091919263204,0.5267326732673268,513.1439926624298,2984.7783203125,129381
linear_probe,2,1.9671424658616086,0.5277007700770077,1.8209336499373119,0.5613201320132013,507.5524673461914,2984.7783203125,129381
linear_probe,3,1.797618918973554,0.5560689402273561,1.7210504392782846,0.573993399339934,531.625358581543,2984.7783203125,129381
linear_probe,4,1.7200989658344978,0.5701796846351301,1.6729458371798198,0.5821782178217821,507.91994881629944,2984.7783203125,129381
linear_probe,5,1.6643833986590102,0.5807847451411808,1.6353298207124074,0.5861386138613861,506.8301603794098,2984.7783203125,129381
linear_probe,6,1.6246237602734879,0.5882948294829483,1.6222136835257213,0.5916831683168317,505.93232131004333,2984.7783203125,129381
linear_probe,7,1.6019620790266857,0.5935900256692336,1.6114962657292684,0.5923432343234324,504.5529923439026,2984.7783203125,129381
linear_probe,8,1.5807556175604098,0.5957169050238357,1.5900173127651214,0.5996039603960396,504.7687168121338,2984.7783203125,129381
batchnorm_finetune,1,1.530536630011901,0.613054638797213,0.8965063506517059,0.7607920792079208,2051.6352350711823,7139.03857421875,283253
batchnorm_finetune,2,0.9848443904823416,0.7403887055372204,0.7896410390147556,0.7936633663366337,1907.3402862548828,7134.93701171875,283253
batchnorm_finetune,3,0.848688441816004,0.7741840850751742,0.7546794516153176,0.8034323432343234,1906.7893500328064,7134.93701171875,283253
batchnorm_finetune,4,0.7694415788061203,0.7921672167216721,0.7228962709175014,0.8141254125412541,1904.125103712082,7134.93701171875,283253
batchnorm_finetune,5,0.7152182442979567,0.8054272093876055,0.7325480233726939,0.8138613861386138,1991.7311463356018,7134.93701171875,283253
batchnorm_finetune,6,0.671401593851538,0.8155042170883755,0.708182730297413,0.8228382838283829,1904.7421433925629,7134.93701171875,283253
batchnorm_finetune,7,0.640763705059536,0.822002200220022,0.7063237341728609,0.8154455445544554,1905.2194356918335,7134.93701171875,283253
batchnorm_finetune,8,0.611637635731622,0.8295269526952695,0.6993265563366176,0.8224422442244225,1897.0429072380066,7134.93701171875,283253
efficientnet_adapter_finetune,1,1.5340480925443167,0.6054565456545654,0.9258513968076384,0.7528712871287129,5107.358450889587,7571.99462890625,509830
efficientnet_adapter_finetune,2,0.964099344417778,0.7414448111477815,0.8433959184505265,0.7725412541254125,5071.712257862091,7563.45654296875,509830
efficientnet_adapter_finetune,3,0.8277099946261544,0.7744627796112945,0.7853942322642994,0.7914191419141914,5248.608577489853,7563.45654296875,509830
efficientnet_adapter_finetune,4,0.7481042877472613,0.794030069673634,0.7612442711470374,0.8022442244224423,5184.202266454697,7563.45654296875,509830
efficientnet_adapter_finetune,5,0.6945638715057194,0.8080381371470481,0.7432932654309248,0.8031683168316832,5111.152248382568,7563.45654296875,509830
efficientnet_adapter_finetune,6,0.6445957315870188,0.8207554088742207,0.742225297777776,0.8108250825082508,5096.288254022598,7563.45654296875,509830
efficientnet_adapter_finetune,7,0.6088966826277281,0.8289548954895489,0.7391162637860872,0.8044884488448845,5387.112091779709,7563.45654296875,509830
efficientnet_adapter_finetune,8,0.5806283290434355,0.8357609094242757,0.8075709005872785,0.8011881188118812,5428.943631649017,7563.45654296875,509830
efficientnet_lora,1,2.220218326859718,0.5014741474147415,1.0958229386353795,0.718943894389439,1104.9218351840973,1236861
efficientnet_lora,2,1.0913422965125152,0.7194426109277594,0.8344514880502274,0.7746534653465347,1087.4383080005646,1236861
efficientnet_lora,3,0.8733756153139359,0.7693729372937294,0.7369268031059941,0.7984158415841585,1061.9447240829468,1236861
efficientnet_lora,4,0.7504977864007444,0.7977851118445178,0.6740652833935581,0.8146534653465346,1059.5376188755035,1236861
efficientnet_lora,5,0.6653301121272821,0.8199046571323799,0.6337325992337762,0.8281188118811881,1063.6205258369446,1236861
efficientnet_lora,6,0.5953739957804414,0.8373597359735974,0.6228478041002016,0.8312871287128712,1068.7756011486053,1236861
efficientnet_lora,7,0.5384008761255856,0.8514998166483315,0.598050523030607,0.8363036303630363,1187.7331700325012,1236861
efficientnet_lora,8,0.4872634731047817,0.8650825082508251,0.5975673608010328,0.8407920792079208,1097.2670199871063,1236861
